Creation Date,System Registration,program_name_DC,Unique Record ID
8/23/2023,Dynamics,Tax Clinic,8bdf0164-655c-499b-a8c2-f24287fcb1df
2/28/2021,Dynamics,Tax Clinic,05b4b45e-6479-eb11-b1ab-000d3a0c8c6d
2/27/2021,Dynamics,Tax Clinic,e4766af0-3179-eb11-b1ab-000d3a0c8c6d
3/23/2024,Dynamics,Tax Clinic,4c1f6765-5472-4082-b76d-5deadb0dd133
7/27/2021,Dynamics,Tax Clinic,0765e7bf-f5b0-4fcf-8ee4-9340a77402e6
2/28/2021,Dynamics,Tax Clinic,e7a2b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,aba5b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,35a7b45e-6479-eb11-b1ab-000d3a0c8c6d
3/21/2022,Dynamics,Tax Clinic,a90f2eeb-8ec7-4edc-85d1-101e9d8061c8
10/5/2022,Dynamics,Tax Clinic,799c6e04-117a-4a2c-96e1-12c5567d9b5f
3/21/2022,Dynamics,Tax Clinic,66c15e71-a02d-4da5-8169-d08554e67ae5
3/21/2022,Dynamics,Tax Clinic,3a0dc8d8-72a8-4801-8ae2-dbf9024eec9c
6/17/2021,Dynamics,Tax Clinic,aab21637-c98c-40ab-9518-1ba14a64d993
2/28/2021,Dynamics,Tax Clinic,ffa5b45e-6479-eb11-b1ab-000d3a0c8c6d
5/4/2021,Dynamics,Tax Clinic,09e35e2b-7732-4d2d-8af4-7a7e643fd178
3/29/2021,Dynamics,Tax Clinic,f09f4e47-33cf-4471-9863-ff6e25d8c94c
2/28/2021,Dynamics,Tax Clinic,97b4b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,f5b3b45e-6479-eb11-b1ab-000d3a0c8c6d
5/12/2022,Dynamics,Tax Clinic,09a4899c-e857-4d76-97f8-2b335fed31e9
9/12/2023,Dynamics,Tax Clinic,9c604175-6f2c-45fc-b57d-c032dcaa8061
5/12/2022,Dynamics,Tax Clinic,14cf4ee5-4217-46b0-9b36-f8cc3f3671db
10/6/2021,Dynamics,Tax Clinic,794b91c6-5939-4ab2-a849-9d084ad939c8
2/27/2021,Dynamics,Tax Clinic,99596af0-3179-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,17b4b45e-6479-eb11-b1ab-000d3a0c8c6d
8/18/2022,Dynamics,Tax Clinic,9eacb9b6-3017-497b-8ff5-12fc2f0970ff
2/28/2021,Dynamics,Tax Clinic,59a7b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,86a4fc5a-dc79-eb11-b1ab-000d3a0c8d89
4/28/2022,Dynamics,Tax Clinic,934f7803-ba98-4e26-9bff-e0a7128fe3e1
4/1/2022,Dynamics,Tax Clinic,cb5651c0-888a-4dd7-9fae-3f22871f92e2
4/25/2022,Dynamics,Tax Clinic,ddb37c59-f286-4f4e-ae95-5ec57ab42ea0
12/5/2023,Dynamics,Tax Clinic,d16f94bf-349c-4ad5-95c0-7188284d5d78
2/28/2021,Dynamics,Tax Clinic,abb8b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,dfb9b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,98e4f79e-5a79-eb11-b1ab-000d3a0c8d89
2/28/2021,Dynamics,Tax Clinic,29b1b45e-6479-eb11-b1ab-000d3a0c8c6d
5/19/2022,Dynamics,Tax Clinic,c531f563-2163-47ca-8580-df1461458970
2/28/2021,Dynamics,Tax Clinic,55a7b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,afa7b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,f1b2b45e-6479-eb11-b1ab-000d3a0c8c6d
10/5/2023,Dynamics,Tax Clinic,e069a541-686a-41ac-89cf-9a04296498d3
10/5/2023,Dynamics,Tax Clinic,1438b5b2-76a8-494f-be0f-dd1a05dce650
2/28/2021,Dynamics,Tax Clinic,e1bab45e-6479-eb11-b1ab-000d3a0c8c6d
11/3/2022,Dynamics,Tax Clinic,5b75ab32-9886-4981-aaf5-a12f1b8f7499
2/28/2021,Dynamics,Tax Clinic,0db5b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,1b645fc6-5a79-eb11-b1ab-000d3a0c8d89
1/27/2022,Dynamics,Tax Clinic,8da0d85c-8570-4910-99cd-dcfab27dc7d6
1/7/2022,Dynamics,Tax Clinic,bf71f569-4d57-4ae1-bc11-63b9adf117a6
1/7/2022,Dynamics,Tax Clinic,712941ba-d032-43dd-a0d3-9b73bfd2b0e3
1/7/2022,Dynamics,Tax Clinic,293d5ed1-0829-4b7c-94a6-dba888e87c0b
1/7/2022,Dynamics,Tax Clinic,b0fd8bc9-d061-4ead-8c5d-ed9ace3e18b1
8/4/2022,Dynamics,Tax Clinic,bb1bccc4-b310-4283-ae52-a335fe92bd44
8/20/2021,Dynamics,Tax Clinic,ee1e32d8-86bf-4bbc-b3c1-a303c58ea857
9/5/2023,Dynamics,Tax Clinic,1caa34b2-ff58-4d7b-a177-50b1c81a7bc2
2/27/2021,Dynamics,Tax Clinic,98a84203-2779-eb11-b1ab-000d3a0c0477
9/18/2023,Dynamics,Tax Clinic,d1684fae-a968-46b7-926f-59e13bb280f9
2/28/2021,Dynamics,Tax Clinic,9fb6b45e-6479-eb11-b1ab-000d3a0c8c6d
12/1/2022,Dynamics,Tax Clinic,86988a0b-b79c-4a22-a549-e1b9d2b73d86
2/27/2021,Dynamics,Tax Clinic,2d67f54e-2779-eb11-b1ab-000d3a0c0477
1/11/2022,Dynamics,Tax Clinic,f3e3ceef-7695-4c84-a55e-e8aadce62736
12/29/2023,Dynamics,Tax Clinic,3c26da48-5470-4b02-9530-d8e45454ad6f
12/29/2023,Dynamics,Tax Clinic,f7adc36c-df94-49b9-b32d-fe0fca029fa0
2/28/2021,Dynamics,Tax Clinic,199db45e-6479-eb11-b1ab-000d3a0c8c6d
3/18/2021,Dynamics,Tax Clinic,80daa8a7-b1d4-4927-8271-9bc3cac77e05
4/8/2024,Dynamics,Tax Clinic,7c4e0bcd-8ecd-4fcb-be6a-9e021aff128f
2/27/2021,Dynamics,Tax Clinic,f2636af0-3179-eb11-b1ab-000d3a0c8c6d
7/19/2021,Dynamics,Tax Clinic,4fdcef89-d58f-437a-a2ef-3a0c0f95de8c
7/15/2021,Dynamics,Tax Clinic,24b02441-5616-4c7c-a9b3-72daa469a019
3/10/2022,Dynamics,Tax Clinic,ded7376b-a80e-4f3b-aca1-aa91c13f08fd
1/19/2024,Dynamics,Tax Clinic,c7419f7a-9e5f-49d4-b542-2fc2ef60cef0
7/8/2022,Dynamics,Tax Clinic,123c7f68-5a2b-49f1-a0cd-59ea11201b13
6/7/2021,Dynamics,Tax Clinic,f9fc173e-cfea-46bf-a429-e874ccae8a72
9/7/2021,Dynamics,Tax Clinic,2529cdca-8567-4763-ad3d-f8cd8d7033d9
2/28/2021,Dynamics,Tax Clinic,41bfb45e-6479-eb11-b1ab-000d3a0c8c6d
6/24/2021,Dynamics,Tax Clinic,af9150ec-1224-4317-8818-01f1bf245755
3/2/2021,Dynamics,Tax Clinic,2f120ba7-4e2d-418a-8f11-0e937dabd458
2/27/2021,Dynamics,Tax Clinic,a362f54e-2779-eb11-b1ab-000d3a0c0477
2/28/2021,Dynamics,Tax Clinic,93a4b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,b3a4b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,ddb2b45e-6479-eb11-b1ab-000d3a0c8c6d
3/30/2022,Dynamics,Tax Clinic,0f6dafe8-8035-4fc9-8d5e-5c63d699728c
3/30/2022,Dynamics,Tax Clinic,8ef58d69-a8b2-4cb7-8ac8-83ea0674de70
3/17/2021,Dynamics,Tax Clinic,75d8f074-2c79-4251-a7ec-b171b51fb28b
7/6/2022,Dynamics,Tax Clinic,0c51ddbe-b1f6-4c8a-849f-f8922bb768fd
2/28/2021,Dynamics,Tax Clinic,e7b7b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,49afb45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,fdb5b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,9ba2b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,eb9fb45e-6479-eb11-b1ab-000d3a0c8c6d
2/27/2021,Dynamics,Tax Clinic,f15f6af0-3179-eb11-b1ab-000d3a0c8c6d
2/27/2021,Dynamics,Tax Clinic,75556af0-3179-eb11-b1ab-000d3a0c8c6d
1/18/2022,Dynamics,Tax Clinic,95c54ee1-c00f-4e05-b1b7-5016f773200c
2/28/2021,Dynamics,Tax Clinic,6da9b45e-6479-eb11-b1ab-000d3a0c8c6d
5/21/2024,Dynamics,Tax Clinic,d303a7e0-2ec3-4574-93f2-a72429bc9bc8
7/8/2021,Dynamics,Tax Clinic,39f29672-e152-4620-aed5-8bbe241214fd
5/2/2024,Dynamics,Tax Clinic,86bfc82a-be88-4412-a316-ea52b44949c7
12/11/2023,Dynamics,Tax Clinic,247c0bc9-7821-4bc1-90a0-2768916f8f84
7/6/2022,Dynamics,Tax Clinic,71d1ea93-f97a-4a77-bdc2-a453ff7a73f3
11/3/2021,Dynamics,Tax Clinic,63542dd1-a025-46d4-a357-4800d9496590
2/28/2021,Dynamics,Tax Clinic,edb7fc5a-dc79-eb11-b1ab-000d3a0c8d89
3/11/2021,Dynamics,Tax Clinic,01ff7761-1c82-eb11-b1ab-000d3a0c2b5d
2/28/2021,Dynamics,Tax Clinic,fdb9b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,55b2b45e-6479-eb11-b1ab-000d3a0c8c6d
2/28/2021,Dynamics,Tax Clinic,abb9b45e-6479-eb11-b1ab-000d3a0c8c6d
2/9/2024,Dynamics,Tax Clinic,31b541c4-6df2-4353-89b6-b4ce68c3b97d
