date,Number of people
2018-01-01,1
2018-01-02,9
2018-01-03,16
2018-01-04,18
2018-01-05,11
2018-01-08,3
2018-01-09,9
2018-01-10,3
2018-01-11,5
2018-01-12,5
2018-01-13,1
2018-01-15,5
2018-01-16,18
2018-01-17,5
2018-01-18,5
2018-01-19,5
2018-01-20,11
2018-01-22,3
2018-01-23,5
2018-01-24,14
2018-01-25,22
2018-01-26,2
2018-01-29,3
2018-01-30,6
2018-01-31,17
2018-02-01,13
2018-02-02,8
2018-02-05,4
2018-02-06,15
2018-02-07,8
2018-02-08,23
2018-02-09,9
2018-02-13,27
2018-02-14,14
2018-02-15,15
2018-02-16,11
2018-02-20,33
2018-02-21,10
2018-02-22,15
2018-02-23,43
2018-02-26,24
2018-02-27,16
2018-02-28,36
2018-03-01,6
2018-03-02,1
2018-03-05,8
2018-03-06,25
2018-03-07,20
2018-03-08,34
2018-03-09,9
2018-03-10,1
2018-03-11,1
2018-03-12,4
2018-03-13,9
2018-03-14,21
2018-03-15,42
2018-03-16,22
2018-03-19,7
2018-03-20,5
2018-03-21,10
2018-03-22,9
2018-03-23,21
2018-03-26,1
2018-03-27,4
2018-03-28,5
2018-03-29,2
2018-03-30,1
2018-04-02,8
2018-04-03,4
2018-04-04,29
2018-04-05,4
2018-04-06,12
2018-04-09,3
2018-04-10,5
2018-04-11,1
2018-04-12,9
2018-04-13,6
2018-04-16,7
2018-04-17,5
2018-04-18,22
2018-04-19,10
2018-04-20,7
2018-04-23,9
2018-04-24,12
2018-04-25,15
2018-04-26,19
2018-04-27,6
2018-04-30,3
2018-05-01,11
2018-05-02,7
2018-05-03,12
2018-05-04,12
2018-05-06,1
2018-05-07,4
2018-05-08,16
2018-05-09,12
2018-05-10,7
2018-05-11,5
2018-05-14,7
2018-05-15,2
2018-05-16,9
2018-05-17,7
2018-05-18,2
2018-05-22,2
2018-05-23,35
2018-05-24,17
2018-05-25,5
2018-05-28,28
2018-05-29,2
2018-05-30,12
2018-05-31,5
2018-06-01,16
2018-06-04,14
2018-06-05,8
2018-06-06,6
2018-06-07,4
2018-06-08,2
2018-06-09,1
2018-06-10,6
2018-06-11,10
2018-06-12,6
2018-06-13,20
2018-06-14,3
2018-06-15,9
2018-06-18,10
2018-06-19,19
2018-06-20,32
2018-06-21,17
2018-06-22,8
2018-06-23,1
2018-06-25,4
2018-06-26,12
2018-06-27,17
2018-06-28,7
2018-06-29,38
2018-07-01,1
2018-07-03,4
2018-07-04,3
2018-07-05,11
2018-07-06,3
2018-07-09,4
2018-07-10,26
2018-07-11,11
2018-07-12,2
2018-07-13,16
2018-07-15,2
2018-07-16,8
2018-07-17,32
2018-07-18,17
2018-07-19,6
2018-07-20,2
2018-07-22,10
2018-07-23,39
2018-07-24,2
2018-07-25,22
2018-07-26,8
2018-07-27,3
2018-07-29,1
2018-07-30,6
2018-07-31,8
2018-08-01,13
2018-08-02,23
2018-08-03,4
2018-08-07,15
2018-08-08,3
2018-08-09,9
2018-08-10,1
2018-08-12,1
2018-08-13,4
2018-08-14,17
2018-08-15,11
2018-08-16,10
2018-08-17,5
2018-08-18,1
2018-08-20,11
2018-08-21,14
2018-08-22,7
2018-08-23,14
2018-08-24,10
2018-08-27,7
2018-08-28,46
2018-08-29,32
2018-08-30,19
2018-08-31,3
2018-09-01,2
2018-09-04,12
2018-09-05,19
2018-09-06,9
2018-09-07,2
2018-09-10,8
2018-09-11,9
2018-09-12,18
2018-09-13,4
2018-09-14,1
2018-09-17,1
2018-09-18,5
2018-09-19,16
2018-09-20,3
2018-09-21,10
2018-09-24,15
2018-09-26,7
2018-09-27,20
2018-09-28,11
2018-09-29,1
2018-10-01,7
2018-10-02,2
2018-10-03,6
2018-10-04,20
2018-10-05,1
2018-10-06,4
2018-10-09,4
2018-10-10,4
2018-10-11,26
2018-10-12,13
2018-10-15,9
2018-10-16,2
2018-10-17,19
2018-10-18,2
2018-10-19,12
2018-10-22,5
2018-10-23,1
2018-10-24,22
2018-10-25,7
2018-10-26,1
2018-10-29,3
2018-10-30,7
2018-10-31,22
2018-11-01,9
2018-11-02,4
2018-11-05,3
2018-11-06,5
2018-11-07,3
2018-11-08,7
2018-11-09,18
2018-11-11,1
2018-11-12,11
2018-11-13,4
2018-11-14,10
2018-11-15,10
2018-11-16,1
2018-11-17,9
2018-11-19,8
2018-11-20,4
2018-11-21,22
2018-11-22,17
2018-11-23,19
2018-11-26,19
2018-11-28,3
2018-11-29,20
2018-11-30,10
2018-12-03,7
2018-12-04,8
2018-12-05,18
2018-12-06,17
2018-12-07,1
2018-12-11,5
2018-12-12,26
2018-12-13,16
2018-12-14,3
2018-12-17,11
2018-12-18,3
2018-12-19,8
2018-12-20,7
2018-12-21,5
2018-12-24,1
2018-12-25,1
2018-12-27,3
2019-01-02,6
2019-01-03,6
2019-01-04,1
2019-01-07,9
2019-01-08,4
2019-01-09,21
2019-01-10,14
2019-01-11,27
2019-01-12,2
2019-01-14,1
2019-01-15,2
2019-01-16,8
2019-01-17,21
2019-01-18,1
2019-01-20,1
2019-01-21,23
2019-01-22,14
2019-01-23,5
2019-01-24,8
2019-01-25,9
2019-01-26,1
2019-01-28,6
2019-01-29,2
2019-01-30,32
2019-01-31,8
2019-02-01,4
2019-02-02,6
2019-02-04,7
2019-02-05,28
2019-02-06,22
2019-02-07,8
2019-02-08,4
2019-02-09,1
2019-02-12,2
2019-02-13,29
2019-02-14,20
2019-02-15,17
2019-02-19,27
2019-02-20,13
2019-02-21,22
2019-02-22,5
2019-02-24,4
2019-02-25,6
2019-02-26,41
2019-02-27,12
2019-02-28,5
2019-03-01,1
2019-03-04,7
2019-03-05,15
2019-03-06,7
2019-03-07,10
2019-03-08,2
2019-03-09,1
2019-03-11,5
2019-03-12,8
2019-03-13,15
2019-03-14,6
2019-03-15,9
2019-03-17,3
2019-03-18,10
2019-03-19,12
2019-03-20,16
2019-03-21,7
2019-03-22,21
2019-03-25,3
2019-03-26,2
2019-03-27,29
2019-03-28,7
2019-03-29,25
2019-04-01,13
2019-04-02,13
2019-04-03,10
2019-04-04,11
2019-04-05,7
2019-04-08,17
2019-04-09,5
2019-04-10,8
2019-04-11,11
2019-04-12,8
2019-04-15,3
2019-04-16,14
2019-04-17,24
2019-04-18,16
2019-04-19,2
2019-04-22,3
2019-04-23,9
2019-04-24,29
2019-04-25,27
2019-04-26,22
2019-04-29,8
2019-04-30,12
2019-05-01,20
2019-05-02,4
2019-05-03,25
2019-05-06,4
2019-05-07,2
2019-05-08,24
2019-05-09,36
2019-05-10,9
2019-05-13,9
2019-05-14,15
2019-05-15,31
2019-05-16,22
2019-05-17,17
2019-05-18,1
2019-05-19,1
2019-05-20,18
2019-05-21,4
2019-05-22,4
2019-05-24,23
2019-05-25,1
2019-05-27,15
2019-05-28,1
2019-05-29,46
2019-05-30,18
2019-05-31,9
2019-06-03,12
2019-06-04,18
2019-06-05,24
2019-06-06,7
2019-06-07,6
2019-06-10,15
2019-06-11,29
2019-06-12,19
2019-06-13,5
2019-06-14,8
2019-06-17,16
2019-06-18,4
2019-06-19,12
2019-06-20,22
2019-06-21,17
2019-06-24,13
2019-06-25,5
2019-06-26,2
2019-06-27,18
2019-06-28,27
2019-07-02,16
2019-07-03,25
2019-07-04,14
2019-07-05,33
2019-07-06,1
2019-07-08,11
2019-07-09,8
2019-07-10,6
2019-07-11,24
2019-07-12,37
2019-07-13,1
2019-07-14,5
2019-07-15,39
2019-07-16,21
2019-07-17,17
2019-07-18,12
2019-07-19,6
2019-07-20,4
2019-07-21,1
2019-07-22,8
2019-07-23,10
2019-07-24,20
2019-07-25,12
2019-07-26,1
2019-07-28,1
2019-07-29,7
2019-07-30,15
2019-07-31,7
2019-08-01,25
2019-08-02,37
2019-08-04,3
2019-08-05,2
2019-08-06,16
2019-08-07,24
2019-08-08,13
2019-08-09,23
2019-08-10,1
2019-08-12,21
2019-08-13,27
2019-08-14,20
2019-08-15,40
2019-08-16,26
2019-08-17,3
2019-08-18,1
2019-08-19,13
2019-08-20,5
2019-08-21,24
2019-08-22,5
2019-08-23,11
2019-08-26,11
2019-08-27,26
2019-08-28,7
2019-08-29,5
2019-08-30,6
2019-09-01,1
2019-09-02,1
2019-09-03,8
2019-09-04,4
2019-09-05,17
2019-09-06,11
2019-09-07,1
2019-09-09,75
2019-09-10,5
2019-09-11,36
2019-09-12,4
2019-09-13,13
2019-09-14,8
2019-09-16,9
2019-09-17,13
2019-09-18,30
2019-09-19,9
2019-09-20,19
2019-09-23,7
2019-09-24,8
2019-09-25,11
2019-09-26,16
2019-09-27,7
2019-09-28,4
2019-09-30,8
2019-10-01,18
2019-10-02,25
2019-10-03,23
2019-10-04,9
2019-10-07,12
2019-10-08,16
2019-10-09,22
2019-10-10,6
2019-10-11,28
2019-10-15,7
2019-10-16,8
2019-10-17,8
2019-10-18,38
2019-10-21,36
2019-10-22,8
2019-10-23,12
2019-10-24,44
2019-10-25,3
2019-10-26,1
2019-10-28,2
2019-10-29,6
2019-10-30,9
2019-10-31,11
2019-11-01,6
2019-11-04,6
2019-11-05,7
2019-11-06,25
2019-11-07,14
2019-11-08,8
2019-11-09,3
2019-11-11,3
2019-11-12,11
2019-11-13,37
2019-11-14,15
2019-11-15,1
2019-11-18,15
2019-11-19,5
2019-11-20,7
2019-11-21,15
2019-11-22,12
2019-11-24,1
2019-11-25,14
2019-11-26,1
2019-11-27,6
2019-11-28,18
2019-11-29,8
2019-11-30,1
2019-12-02,10
2019-12-03,8
2019-12-04,20
2019-12-05,2
2019-12-06,4
2019-12-09,22
2019-12-10,11
2019-12-11,14
2019-12-12,10
2019-12-13,4
2019-12-16,10
2019-12-17,14
2019-12-18,7
2019-12-19,9
2019-12-20,3
2019-12-23,4
2019-12-24,3
2019-12-26,1
2019-12-29,1
2019-12-30,10
2019-12-31,1
2020-01-02,2
2020-01-03,1
2020-01-04,1
2020-01-05,1
2020-01-07,7
2020-01-08,13
2020-01-09,18
2020-01-10,14
2020-01-11,1
2020-01-13,7
2020-01-14,14
2020-01-15,12
2020-01-16,35
2020-01-17,8
2020-01-20,8
2020-01-22,18
2020-01-23,8
2020-01-24,6
2020-01-25,1
2020-01-26,3
2020-01-27,3
2020-01-28,1
2020-01-29,10
2020-01-30,7
2020-01-31,6
2020-02-03,8
2020-02-04,19
2020-02-05,12
2020-02-06,27
2020-02-07,14
2020-02-10,6
2020-02-11,4
2020-02-12,17
2020-02-13,13
2020-02-14,11
2020-02-18,10
2020-02-19,15
2020-02-20,25
2020-02-21,4
2020-02-24,12
2020-02-25,21
2020-02-26,17
2020-02-27,11
2020-02-28,15
2020-02-29,1
2020-03-01,1
2020-03-02,29
2020-03-03,13
2020-03-04,3
2020-03-05,5
2020-03-06,9
2020-03-07,1
2020-03-09,9
2020-03-10,5
2020-03-11,14
2020-03-12,15
2020-03-13,7
2020-03-14,2
2020-03-15,1
2020-03-16,5
2020-03-17,6
2020-03-18,13
2020-03-19,7
2020-03-20,11
2020-03-21,7
2020-03-22,1
2020-03-23,7
2020-03-24,9
2020-03-25,9
2020-03-26,3
2020-03-27,5
2020-03-30,11
2020-03-31,13
2020-04-01,5
2020-04-02,6
2020-04-03,3
2020-04-06,5
2020-04-07,6
2020-04-08,11
2020-04-09,18
2020-04-13,11
2020-04-14,8
2020-04-15,2
2020-04-16,8
2020-04-17,9
2020-04-19,1
2020-04-20,13
2020-04-21,13
2020-04-22,8
2020-04-23,5
2020-04-24,18
2020-04-27,2
2020-04-28,7
2020-04-29,34
2020-04-30,43
2020-05-01,19
2020-05-04,9
2020-05-05,7
