month,total_clients,employed_clients,employment_rate
2022-02-01,6.0,5.0,0.8333333333333334
2022-03-01,6.0,4.0,0.6666666666666666
2022-04-01,4.0,1.0,0.25
2022-05-01,3.0,2.0,0.6666666666666666
2022-06-01,1.0,0.0,0.0
2022-07-01,3.0,0.0,0.0
2022-08-01,1.0,0.0,0.0
2022-09-01,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,6.0,3.0,0.5
2023-03-01,3.0,4.0,1.3333333333333333
2023-04-01,1.0,1.0,1.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-11-01,1.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0
2024-02-01,3.0,1.0,0.3333333333333333
2024-03-01,10.0,9.0,0.9
2024-04-01,5.0,4.0,0.8
2024-05-01,2.0,1.0,0.5
2024-06-01,1.0,1.0,1.0
2024-07-01,1.0,0.0,0.0
2024-08-01,2.0,1.0,0.5
2024-09-01,0.0,0.0,0.0
2024-10-01,6.0,0.0,0.0
2024-11-01,9.0,0.0,0.0
2024-12-01,11.0,0.0,0.0
2025-01-01,12.0,0.0,0.0
2025-02-01,17.0,0.0,0.0
2025-03-01,127.0,54.0,0.4251968503937008
2025-04-01,77.0,26.0,0.33766233766233766
2025-05-01,25.0,0.0,0.0
2025-06-01,19.0,0.0,0.0
2025-07-01,31.0,0.0,0.0
2025-08-01,19.0,0.0,0.0
2025-09-01,24.0,0.0,0.0
2025-10-01,19.0,0.0,0.0
