Week,Black,East Asian,Indigenous,Latin American,Middle Eastern,Multiple,Other,South Asian,Southeast Asian,Unknown,White
2020-12-28,0,1,0,0,0,0,0,0,0,93,0
2021-01-04,0,0,0,0,0,0,0,0,0,61,0
2021-01-11,0,0,0,0,0,0,0,0,0,13,0
2021-01-18,0,0,0,0,0,0,0,0,0,13,0
2021-01-25,0,0,0,0,0,0,0,0,0,13,0
2021-02-01,0,0,0,0,0,0,1,0,0,11,0
2021-02-08,0,0,0,0,0,0,0,0,0,29,0
2021-02-15,0,0,0,0,0,0,0,0,0,31,0
2021-02-22,0,0,0,0,0,0,0,0,0,25128,0
2021-03-01,0,0,0,0,0,0,0,0,0,73,0
2021-03-08,0,0,1,0,0,0,0,0,0,162,0
2021-03-15,0,0,0,0,0,0,0,0,0,89,0
2021-03-22,0,0,0,0,0,0,0,0,0,117,0
2021-03-29,0,0,0,0,0,0,0,0,0,72,0
2021-04-05,0,0,0,0,0,0,0,0,0,75,0
2021-04-12,0,0,0,0,0,0,0,0,0,76,0
2021-04-19,0,0,0,0,0,0,0,0,0,78,1
2021-04-26,0,0,0,0,0,0,0,0,0,100,0
2021-05-03,0,0,0,0,0,0,0,0,0,85,0
2021-05-10,0,0,0,0,0,0,0,0,0,67,0
2021-05-17,0,0,0,0,0,0,0,0,0,79,0
2021-05-24,0,0,0,0,0,0,0,0,0,51,0
2021-05-31,0,0,0,0,0,0,0,0,0,108,0
2021-06-07,0,1,0,0,0,0,0,0,0,184,0
2021-06-14,0,0,0,0,0,0,0,0,0,81,0
2021-06-21,0,0,0,0,0,0,0,1,0,65,0
2021-06-28,0,0,0,0,0,0,0,0,0,45,0
2021-07-05,0,0,0,0,0,0,0,0,0,86,0
2021-07-12,0,0,0,0,0,0,0,0,0,122,0
2021-07-19,0,0,0,0,0,0,0,0,0,170,0
2021-07-26,0,0,0,0,1,0,0,0,0,143,0
2021-08-02,0,0,0,0,0,0,1,0,0,121,0
2021-08-09,0,0,0,0,0,0,0,0,0,192,1
2021-08-16,0,0,0,0,0,0,0,0,0,262,0
2021-08-23,0,0,0,0,0,0,0,0,0,133,0
2021-08-30,0,0,0,0,0,0,0,0,0,127,0
2021-09-06,0,0,0,0,0,0,0,0,0,223,0
2021-09-13,0,0,0,0,0,0,0,0,0,119,0
2021-09-20,0,2,0,0,0,0,0,0,0,91,0
2021-09-27,0,0,0,0,0,0,0,0,0,85,0
2021-10-04,0,0,0,0,0,0,0,0,0,95,0
2021-10-11,0,0,0,0,0,0,0,1,0,92,0
2021-10-18,0,0,0,0,0,0,0,0,0,93,0
2021-10-25,0,0,0,0,0,0,0,0,0,74,0
2021-11-01,0,0,0,0,0,0,0,0,0,106,0
2021-11-08,0,0,0,0,0,0,0,0,0,130,1
2021-11-15,0,1,0,0,0,0,0,0,0,111,0
2021-11-22,0,0,0,0,0,0,0,1,1,88,0
2021-11-29,0,0,0,0,0,0,0,0,0,118,1
2021-12-06,0,0,0,0,0,0,0,0,0,91,0
2021-12-13,0,0,0,0,0,0,0,0,0,68,0
2021-12-20,0,1,0,0,0,0,0,0,0,90,1
2021-12-27,0,0,0,0,0,0,0,1,0,33,0
2022-01-03,0,0,0,0,0,0,0,0,0,77,0
2022-01-10,0,0,0,0,0,0,0,0,0,90,0
2022-01-17,0,0,0,0,0,0,0,0,0,92,0
2022-01-24,0,0,0,0,0,0,0,0,0,120,0
2022-01-31,0,0,0,0,0,0,0,0,0,121,1
2022-02-07,0,0,0,0,0,0,0,0,0,275,0
2022-02-14,0,0,0,0,0,0,0,0,0,164,1
2022-02-21,0,0,0,0,0,0,0,0,0,106,0
2022-02-28,0,0,0,0,0,0,0,0,0,124,0
2022-03-07,0,0,0,0,0,0,0,0,0,125,1
2022-03-14,0,0,0,0,0,0,0,0,0,92,0
2022-03-21,0,0,0,0,0,0,0,0,0,108,0
2022-03-28,0,0,0,0,0,0,0,0,0,359,1
2022-04-04,0,0,0,0,0,0,0,0,1,133,0
2022-04-11,0,0,0,0,0,0,0,0,0,92,0
2022-04-18,0,0,0,0,0,0,0,0,0,87,0
2022-04-25,0,0,0,0,0,1,0,0,0,112,1
2022-05-02,0,0,0,0,0,0,0,0,0,91,0
2022-05-09,1,0,0,0,0,0,0,0,0,129,0
2022-05-16,0,0,0,0,0,0,0,0,0,103,0
2022-05-23,0,0,0,0,0,0,0,0,0,100,0
2022-05-30,0,0,0,0,0,0,0,0,0,134,0
2022-06-06,0,0,0,0,0,0,0,0,0,99,0
2022-06-13,0,0,0,0,0,0,0,0,0,127,1
2022-06-20,0,0,0,0,0,0,0,0,0,99,1
2022-06-27,0,0,0,0,0,0,0,0,0,116,1
2022-07-04,0,0,0,0,0,0,0,0,0,134,2
2022-07-11,0,0,0,0,0,0,0,0,0,108,0
2022-07-18,0,0,0,0,0,0,0,1,1,102,1
2022-07-25,0,0,0,0,0,0,0,0,2,88,1
2022-08-01,0,1,0,0,0,0,0,0,0,114,0
2022-08-08,0,0,0,0,0,0,0,0,0,101,0
2022-08-15,2,1,0,0,0,0,0,0,0,90,1
2022-08-22,0,0,0,0,0,0,0,0,0,91,0
2022-08-29,0,0,0,0,0,0,1,0,0,362,1
2022-09-05,0,0,0,0,0,0,0,0,0,82,1
2022-09-12,0,0,0,0,1,0,0,0,0,91,1
2022-09-19,1,1,0,0,0,0,0,0,0,83,1
2022-09-26,0,2,0,0,0,0,0,1,0,196,4
2022-10-03,0,0,0,0,0,0,0,0,0,153,1
2022-10-10,1,0,0,0,0,0,0,1,0,81,1
2022-10-17,2,1,0,0,0,0,0,0,0,121,1
2022-10-24,2,0,0,0,0,0,0,0,0,141,1
2022-10-31,0,0,0,0,0,0,0,1,0,176,0
2022-11-07,0,0,0,0,0,0,0,0,0,85,3
2022-11-14,0,1,0,0,0,0,0,0,0,116,1
2022-11-21,0,1,0,0,0,0,0,0,0,89,1
2022-11-28,0,0,0,0,0,0,0,0,0,140,2
2022-12-05,0,0,0,0,0,0,0,1,0,105,0
2022-12-12,0,0,0,0,0,0,0,0,0,83,0
2022-12-19,0,0,0,0,0,0,0,0,0,87,1
2022-12-26,1,0,0,1,0,0,0,0,0,27,1
2023-01-02,0,1,0,0,0,0,0,0,0,84,1
2023-01-09,1,0,0,0,0,0,0,1,0,102,1
2023-01-16,1,0,0,0,0,0,0,0,0,122,1
2023-01-23,0,0,0,0,0,0,0,0,1,116,2
2023-01-30,0,0,1,0,0,0,1,0,0,117,2
2023-02-06,0,1,0,0,0,0,0,0,0,163,3
2023-02-13,0,0,0,0,0,0,0,0,0,132,1
2023-02-20,1,1,0,0,0,0,0,0,0,90,0
2023-02-27,0,0,0,0,0,0,0,1,1,160,0
2023-03-06,1,0,0,0,0,0,0,2,0,176,0
2023-03-13,0,0,0,0,0,0,0,0,0,135,0
2023-03-20,0,0,0,0,0,0,0,0,0,107,0
2023-03-27,0,0,0,0,0,0,0,0,0,111,0
2023-04-03,0,0,0,0,0,0,0,0,0,165,0
2023-04-10,0,0,0,0,0,0,0,0,2,146,0
2023-04-17,0,0,0,0,0,0,0,0,0,112,0
2023-04-24,0,0,0,0,0,0,0,0,0,172,0
2023-05-01,0,0,0,0,0,0,0,0,0,99,0
2023-05-08,0,0,0,0,0,0,0,0,0,84,0
2023-05-15,0,0,0,0,0,0,0,0,0,95,0
2023-05-22,0,0,0,0,0,0,0,0,0,160,0
2023-05-29,0,0,0,0,0,0,0,0,0,125,0
2023-06-05,0,0,0,0,0,0,0,0,0,132,0
2023-06-12,0,0,0,0,0,0,0,0,0,98,0
2023-06-19,0,0,0,0,0,0,0,0,0,107,0
2023-06-26,0,0,0,0,0,0,0,0,0,85,0
2023-07-03,0,0,0,0,0,0,0,0,0,128,0
2023-07-10,0,0,0,0,0,0,0,0,0,126,0
2023-07-17,0,0,0,0,0,0,0,0,0,113,0
2023-07-24,0,0,0,0,0,0,0,0,0,136,0
2023-07-31,0,0,0,0,0,0,0,0,0,134,1
2023-08-07,0,0,0,0,0,0,0,0,0,113,0
2023-08-14,0,0,0,0,0,0,0,0,0,103,0
2023-08-21,0,0,0,0,0,0,0,0,0,107,1
2023-08-28,0,0,0,0,0,0,0,0,0,134,0
2023-09-04,0,0,0,0,0,0,0,0,0,81,0
2023-09-11,0,0,0,0,0,0,0,0,0,127,0
2023-09-18,0,0,0,0,0,0,0,0,0,1991,0
2023-09-25,0,0,0,0,0,0,0,0,0,114,0
2023-10-02,0,0,0,0,0,0,0,0,0,155,0
2023-10-09,0,0,0,0,0,0,0,0,0,135,0
2023-10-16,0,0,0,0,0,0,0,0,0,128,0
2023-10-23,0,0,0,0,0,0,0,0,0,148,0
2023-10-30,0,0,0,0,0,0,0,0,0,229,0
2023-11-06,1,0,0,0,0,0,0,2,0,115,0
2023-11-13,0,0,0,0,0,0,0,0,0,88,2
2023-11-20,0,0,0,0,0,0,0,0,0,86,0
2023-11-27,0,0,0,0,0,0,0,0,0,106,0
2023-12-04,0,0,0,0,0,0,0,0,0,101,0
2023-12-11,0,0,1,0,0,0,0,0,0,86,0
2023-12-18,0,0,0,0,0,0,0,0,0,132,0
2023-12-25,0,0,0,0,0,0,0,0,0,139,0
2024-01-01,0,0,0,0,0,0,0,1,0,102,1
2024-01-08,0,0,0,0,0,0,0,0,1,172,0
2024-01-15,0,0,0,0,0,0,0,0,1,153,2
2024-01-22,0,0,0,0,0,0,0,0,0,195,2
2024-01-29,0,0,0,0,0,0,0,1,0,180,1
2024-02-05,0,0,0,0,0,0,0,0,0,168,2
2024-02-12,0,0,0,0,0,0,0,0,0,126,2
2024-02-19,0,0,0,0,0,0,0,0,0,132,0
2024-02-26,0,0,0,0,0,0,0,0,0,153,1
