"REF_DATE","GEO","DGUID","Economic family type","Household food security status","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611273","1.1.6.2","16.8","B","","","1"
"2019","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611273","1.1.6.2","15.9","B","","","1"
"2020","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611273","1.1.6.2","15.7","B","","","1"
"2021","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611273","1.1.6.2","18.4","A","","","1"
"2022","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611273","1.1.6.2","22.9","A","","","1"
"2023","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611273","1.1.6.2","25.5","A","","","1"
"2018","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003143","1.1.3.2","11.6","B","","","1"
"2019","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003143","1.1.3.2","10.8","B","","","1"
"2020","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003143","1.1.3.2","11.2","B","","","1"
"2021","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003143","1.1.3.2","12.9","B","","","1"
"2022","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003143","1.1.3.2","16.9","A","","","1"
"2023","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003143","1.1.3.2","19.1","A","","","1"
"2018","Canada","2021A000011124","Persons in economic families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611275","1.2.6.2","16.1","B","","","1"
"2019","Canada","2021A000011124","Persons in economic families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611275","1.2.6.2","15.1","B","","","1"
"2020","Canada","2021A000011124","Persons in economic families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611275","1.2.6.2","15.1","B","","","1"
"2021","Canada","2021A000011124","Persons in economic families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611275","1.2.6.2","18.1","B","","","1"
"2022","Canada","2021A000011124","Persons in economic families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611275","1.2.6.2","22.3","A","","","1"
"2023","Canada","2021A000011124","Persons in economic families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611275","1.2.6.2","25.2","A","","","1"
"2018","Canada","2021A000011124","Persons in economic families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003153","1.2.3.2","10.9","B","","","1"
"2019","Canada","2021A000011124","Persons in economic families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003153","1.2.3.2","10.1","B","","","1"
"2020","Canada","2021A000011124","Persons in economic families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003153","1.2.3.2","10.5","B","","","1"
"2021","Canada","2021A000011124","Persons in economic families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003153","1.2.3.2","12.4","B","","","1"
"2022","Canada","2021A000011124","Persons in economic families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003153","1.2.3.2","16.1","B","","","1"
"2023","Canada","2021A000011124","Persons in economic families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003153","1.2.3.2","18.7","B","","","1"
"2018","Canada","2021A000011124","Persons in senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611277","1.3.6.2","7.1","D","","","1"
"2019","Canada","2021A000011124","Persons in senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611277","1.3.6.2","7.6","D","","","1"
"2020","Canada","2021A000011124","Persons in senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611277","1.3.6.2","7.8","D","","","1"
"2021","Canada","2021A000011124","Persons in senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611277","1.3.6.2","8.3","C","","","1"
"2022","Canada","2021A000011124","Persons in senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611277","1.3.6.2","10.8","C","","","1"
"2023","Canada","2021A000011124","Persons in senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611277","1.3.6.2","12.6","C","","","1"
"2018","Canada","2021A000011124","Persons in senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003163","1.3.3.2","4.5","D","","","1"
"2019","Canada","2021A000011124","Persons in senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003163","1.3.3.2","4.9","D","","","1"
"2020","Canada","2021A000011124","Persons in senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003163","1.3.3.2","4.9","D","","","1"
"2021","Canada","2021A000011124","Persons in senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003163","1.3.3.2","4.9","C","","","1"
"2022","Canada","2021A000011124","Persons in senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003163","1.3.3.2","7.1","C","","","1"
"2023","Canada","2021A000011124","Persons in senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003163","1.3.3.2","9.2","D","","","1"
"2018","Canada","2021A000011124","Persons in non-senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611283","1.6.6.2","17.6","B","","","1"
"2019","Canada","2021A000011124","Persons in non-senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611283","1.6.6.2","16.3","B","","","1"
"2020","Canada","2021A000011124","Persons in non-senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611283","1.6.6.2","16.4","B","","","1"
"2021","Canada","2021A000011124","Persons in non-senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611283","1.6.6.2","19.8","B","","","1"
"2022","Canada","2021A000011124","Persons in non-senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611283","1.6.6.2","24.6","B","","","1"
"2023","Canada","2021A000011124","Persons in non-senior families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611283","1.6.6.2","27.8","A","","","1"
"2018","Canada","2021A000011124","Persons in non-senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003193","1.6.3.2","12.0","B","","","1"
"2019","Canada","2021A000011124","Persons in non-senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003193","1.6.3.2","10.9","C","","","1"
"2020","Canada","2021A000011124","Persons in non-senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003193","1.6.3.2","11.5","B","","","1"
"2021","Canada","2021A000011124","Persons in non-senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003193","1.6.3.2","13.8","B","","","1"
"2022","Canada","2021A000011124","Persons in non-senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003193","1.6.3.2","18.0","B","","","1"
"2023","Canada","2021A000011124","Persons in non-senior families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003193","1.6.3.2","20.6","B","","","1"
"2018","Canada","2021A000011124","Persons in couple families with children","Food insecure","Percentage of persons","Percent","239","units","0","v1529611287","1.8.6.2","17.9","B","","","1"
"2019","Canada","2021A000011124","Persons in couple families with children","Food insecure","Percentage of persons","Percent","239","units","0","v1529611287","1.8.6.2","16.4","C","","","1"
"2020","Canada","2021A000011124","Persons in couple families with children","Food insecure","Percentage of persons","Percent","239","units","0","v1529611287","1.8.6.2","16.4","B","","","1"
"2021","Canada","2021A000011124","Persons in couple families with children","Food insecure","Percentage of persons","Percent","239","units","0","v1529611287","1.8.6.2","21.1","B","","","1"
"2022","Canada","2021A000011124","Persons in couple families with children","Food insecure","Percentage of persons","Percent","239","units","0","v1529611287","1.8.6.2","24.7","B","","","1"
"2023","Canada","2021A000011124","Persons in couple families with children","Food insecure","Percentage of persons","Percent","239","units","0","v1529611287","1.8.6.2","28.6","B","","","1"
"2018","Canada","2021A000011124","Persons in couple families with children","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003213","1.8.3.2","11.2","C","","","1"
"2019","Canada","2021A000011124","Persons in couple families with children","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003213","1.8.3.2","10.0","C","","","1"
"2020","Canada","2021A000011124","Persons in couple families with children","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003213","1.8.3.2","10.6","C","","","1"
"2021","Canada","2021A000011124","Persons in couple families with children","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003213","1.8.3.2","13.9","C","","","1"
"2022","Canada","2021A000011124","Persons in couple families with children","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003213","1.8.3.2","17.6","B","","","1"
"2023","Canada","2021A000011124","Persons in couple families with children","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003213","1.8.3.2","20.5","B","","","1"
"2018","Canada","2021A000011124","Persons in lone-parent families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611291","1.10.6.2","42.2","C","","","1"
"2019","Canada","2021A000011124","Persons in lone-parent families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611291","1.10.6.2","38.7","C","","","1"
"2020","Canada","2021A000011124","Persons in lone-parent families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611291","1.10.6.2","33.7","C","","","1"
"2021","Canada","2021A000011124","Persons in lone-parent families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611291","1.10.6.2","38.8","C","","","1"
"2022","Canada","2021A000011124","Persons in lone-parent families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611291","1.10.6.2","43.4","C","","","1"
"2023","Canada","2021A000011124","Persons in lone-parent families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611291","1.10.6.2","47.8","C","","","1"
"2018","Canada","2021A000011124","Persons in lone-parent families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003233","1.10.3.2","32.3","C","","","1"
"2019","Canada","2021A000011124","Persons in lone-parent families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003233","1.10.3.2","30.7","C","","","1"
"2020","Canada","2021A000011124","Persons in lone-parent families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003233","1.10.3.2","27.3","C","","","1"
"2021","Canada","2021A000011124","Persons in lone-parent families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003233","1.10.3.2","30.0","C","","","1"
"2022","Canada","2021A000011124","Persons in lone-parent families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003233","1.10.3.2","34.0","C","","","1"
"2023","Canada","2021A000011124","Persons in lone-parent families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003233","1.10.3.2","39.5","C","","","1"
"2018","Canada","2021A000011124","Persons not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611299","1.14.6.2","20.2","B","","","1"
"2019","Canada","2021A000011124","Persons not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611299","1.14.6.2","19.8","B","","","1"
"2020","Canada","2021A000011124","Persons not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611299","1.14.6.2","18.9","B","","","1"
"2021","Canada","2021A000011124","Persons not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611299","1.14.6.2","20.2","B","","","1"
