"REF_DATE","GEO","DGUID","Demographic characteristics","Household food security status","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611793","1.1.6.2","16.8","B","","","1"
"2019","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611793","1.1.6.2","15.9","B","","","1"
"2020","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611793","1.1.6.2","15.7","B","","","1"
"2021","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611793","1.1.6.2","18.4","A","","","1"
"2022","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611793","1.1.6.2","22.9","A","","","1"
"2023","Canada","2021A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611793","1.1.6.2","25.5","A","","","1"
"2018","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342809","1.1.3.2","11.6","B","","","1"
"2019","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342809","1.1.3.2","10.8","B","","","1"
"2020","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342809","1.1.3.2","11.2","B","","","1"
"2021","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342809","1.1.3.2","12.9","B","","","1"
"2022","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342809","1.1.3.2","16.9","A","","","1"
"2023","Canada","2021A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342809","1.1.3.2","19.1","A","","","1"
"2018","Canada","2021A000011124","Persons under 18 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611795","1.2.6.2","22.2","B","","","1"
"2019","Canada","2021A000011124","Persons under 18 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611795","1.2.6.2","20.0","C","","","1"
"2020","Canada","2021A000011124","Persons under 18 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611795","1.2.6.2","19.6","B","","","1"
"2021","Canada","2021A000011124","Persons under 18 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611795","1.2.6.2","24.3","B","","","1"
"2022","Canada","2021A000011124","Persons under 18 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611795","1.2.6.2","28.4","B","","","1"
"2023","Canada","2021A000011124","Persons under 18 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611795","1.2.6.2","32.9","B","","","1"
"2018","Canada","2021A000011124","Persons under 18 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342819","1.2.3.2","14.6","B","","","1"
"2019","Canada","2021A000011124","Persons under 18 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342819","1.2.3.2","13.3","C","","","1"
"2020","Canada","2021A000011124","Persons under 18 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342819","1.2.3.2","13.6","B","","","1"
"2021","Canada","2021A000011124","Persons under 18 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342819","1.2.3.2","16.8","C","","","1"
"2022","Canada","2021A000011124","Persons under 18 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342819","1.2.3.2","21.0","B","","","1"
"2023","Canada","2021A000011124","Persons under 18 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342819","1.2.3.2","24.7","B","","","1"
"2018","Canada","2021A000011124","Persons 18 to 24 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611799","1.4.6.2","19.1","C","","","1"
"2019","Canada","2021A000011124","Persons 18 to 24 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611799","1.4.6.2","17.8","C","","","1"
"2020","Canada","2021A000011124","Persons 18 to 24 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611799","1.4.6.2","18.0","C","","","1"
"2021","Canada","2021A000011124","Persons 18 to 24 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611799","1.4.6.2","19.8","C","","","1"
"2022","Canada","2021A000011124","Persons 18 to 24 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611799","1.4.6.2","24.4","C","","","1"
"2023","Canada","2021A000011124","Persons 18 to 24 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611799","1.4.6.2","28.2","B","","","1"
"2018","Canada","2021A000011124","Persons 18 to 24 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342839","1.4.3.2","14.1","C","","","1"
"2019","Canada","2021A000011124","Persons 18 to 24 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342839","1.4.3.2","11.8","C","","","1"
"2020","Canada","2021A000011124","Persons 18 to 24 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342839","1.4.3.2","13.7","C","","","1"
"2021","Canada","2021A000011124","Persons 18 to 24 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342839","1.4.3.2","13.6","C","","","1"
"2022","Canada","2021A000011124","Persons 18 to 24 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342839","1.4.3.2","17.7","C","","","1"
"2023","Canada","2021A000011124","Persons 18 to 24 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342839","1.4.3.2","22.0","C","","","1"
"2018","Canada","2021A000011124","Persons 25 to 34 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611801","1.5.6.2","18.0","B","","","1"
"2019","Canada","2021A000011124","Persons 25 to 34 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611801","1.5.6.2","18.1","C","","","1"
"2020","Canada","2021A000011124","Persons 25 to 34 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611801","1.5.6.2","17.3","B","","","1"
"2021","Canada","2021A000011124","Persons 25 to 34 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611801","1.5.6.2","19.9","B","","","1"
"2022","Canada","2021A000011124","Persons 25 to 34 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611801","1.5.6.2","28.0","B","","","1"
"2023","Canada","2021A000011124","Persons 25 to 34 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611801","1.5.6.2","30.2","B","","","1"
"2018","Canada","2021A000011124","Persons 25 to 34 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342849","1.5.3.2","12.8","C","","","1"
"2019","Canada","2021A000011124","Persons 25 to 34 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342849","1.5.3.2","12.6","C","","","1"
"2020","Canada","2021A000011124","Persons 25 to 34 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342849","1.5.3.2","12.9","C","","","1"
"2021","Canada","2021A000011124","Persons 25 to 34 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342849","1.5.3.2","14.8","C","","","1"
"2022","Canada","2021A000011124","Persons 25 to 34 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342849","1.5.3.2","21.2","B","","","1"
"2023","Canada","2021A000011124","Persons 25 to 34 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342849","1.5.3.2","22.6","B","","","1"
"2018","Canada","2021A000011124","Persons 35 to 44 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611803","1.6.6.2","19.5","B","","","1"
"2019","Canada","2021A000011124","Persons 35 to 44 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611803","1.6.6.2","19.8","C","","","1"
"2020","Canada","2021A000011124","Persons 35 to 44 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611803","1.6.6.2","18.3","B","","","1"
"2021","Canada","2021A000011124","Persons 35 to 44 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611803","1.6.6.2","21.2","B","","","1"
"2022","Canada","2021A000011124","Persons 35 to 44 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611803","1.6.6.2","26.9","B","","","1"
"2023","Canada","2021A000011124","Persons 35 to 44 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611803","1.6.6.2","30.4","B","","","1"
"2018","Canada","2021A000011124","Persons 35 to 44 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342859","1.6.3.2","13.0","C","","","1"
"2019","Canada","2021A000011124","Persons 35 to 44 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342859","1.6.3.2","13.4","C","","","1"
"2020","Canada","2021A000011124","Persons 35 to 44 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342859","1.6.3.2","12.7","C","","","1"
"2021","Canada","2021A000011124","Persons 35 to 44 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342859","1.6.3.2","14.8","C","","","1"
"2022","Canada","2021A000011124","Persons 35 to 44 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342859","1.6.3.2","20.5","B","","","1"
"2023","Canada","2021A000011124","Persons 35 to 44 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342859","1.6.3.2","23.1","B","","","1"
"2018","Canada","2021A000011124","Persons 45 to 54 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611805","1.7.6.2","17.4","B","","","1"
"2019","Canada","2021A000011124","Persons 45 to 54 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611805","1.7.6.2","15.5","C","","","1"
"2020","Canada","2021A000011124","Persons 45 to 54 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611805","1.7.6.2","16.4","B","","","1"
"2021","Canada","2021A000011124","Persons 45 to 54 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611805","1.7.6.2","19.1","B","","","1"
"2022","Canada","2021A000011124","Persons 45 to 54 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611805","1.7.6.2","23.3","B","","","1"
"2023","Canada","2021A000011124","Persons 45 to 54 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611805","1.7.6.2","26.0","B","","","1"
"2018","Canada","2021A000011124","Persons 45 to 54 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342869","1.7.3.2","12.8","C","","","1"
"2019","Canada","2021A000011124","Persons 45 to 54 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342869","1.7.3.2","10.8","C","","","1"
"2020","Canada","2021A000011124","Persons 45 to 54 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342869","1.7.3.2","11.9","C","","","1"
"2021","Canada","2021A000011124","Persons 45 to 54 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342869","1.7.3.2","13.7","C","","","1"
"2022","Canada","2021A000011124","Persons 45 to 54 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342869","1.7.3.2","17.3","B","","","1"
"2023","Canada","2021A000011124","Persons 45 to 54 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342869","1.7.3.2","19.8","B","","","1"
"2018","Canada","2021A000011124","Persons 55 to 64 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611807","1.8.6.2","14.0","B","","","1"
"2019","Canada","2021A000011124","Persons 55 to 64 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611807","1.8.6.2","13.0","C","","","1"
"2020","Canada","2021A000011124","Persons 55 to 64 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611807","1.8.6.2","13.4","B","","","1"
"2021","Canada","2021A000011124","Persons 55 to 64 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611807","1.8.6.2","15.4","B","","","1"
"2022","Canada","2021A000011124","Persons 55 to 64 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611807","1.8.6.2","19.6","B","","","1"
"2023","Canada","2021A000011124","Persons 55 to 64 years","Food insecure","Percentage of persons","Percent","239","units","0","v1529611807","1.8.6.2","20.7","B","","","1"
"2018","Canada","2021A000011124","Persons 55 to 64 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342879","1.8.3.2","10.3","C","","","1"
