Month,  Singles - Cases  ,  Singles - Beneficiaries  ,  Couples - Cases  ,  Couples - Beneficiaries  ,  Sole Support Parents - Cases  ,  Sole Support Parents - Beneficiaries  ,  All Family Structures - Cases  ,  All Family Structures - Beneficiaries  
25-Jun,"302,806","302,806","36,954","110,504","34,229","89,947","373,989","503,257"
25-May,"304,224","304,224","37,867","113,128","34,356","90,195","376,447","507,547"
25-Apr,"303,689","303,689","37,873","113,209","34,310","90,002","375,872","506,900"
25-Mar,"303,369","303,369","37,883","113,027","34,163","89,632","375,415","506,028"
25-Feb,"301,403","301,403","37,241","111,149","33,967","89,102","372,611","501,654"
25-Jan,"302,367","302,367","37,733","112,528","34,070","89,400","374,170","504,295"
24-Dec,"302,054","302,054","37,687","112,270","34,017","88,269","373,758","503,593"
24-Nov,"301,966","301,966","37,704","112,320","33,941","88,969","373,611","503,255"
24-Oct,"302,638","302,638","38,152","113,617","33,943","88,913","374,733","505,168"
24-Sep,"300,591","300,591","37,483","111,589","33,658","88,167","371,732","500,347"
24-Aug,"301,543","301,543","38,102","113,493","33,710","88,254","373,355","503,290"
24-Jul,"301,128","301,128","38,128","113,467","33,602","87,970","372,858","502,565"
24-Jun,"298,738","298,738","37,313","111,055","33,303","87,217","369,354","497,010"
24-May,"300,072","300,072","38,335","113,888","33,418","87,437","371,825","501,397"
24-Apr,"297,816","297,816","37,770","112,192","33,161","86,729","368,747","496,737"
24-Mar,"297,810","297,810","37,914","112,426","33,131","86,649","368,855","496,885"
24-Feb,"297,593","297,593","38,211","113,259","33,072","86,434","368,876","497,286"
24-Jan,"296,365","296,365","37,760","112,057","32,887","85,892","367,012","494,314"
23-Dec,"297,216","297,216","38,097","112,847","32,934","85,990","368,247","496,053"
23-Nov,"297,567","297,567","38,441","113,818","32,958","85,989","368,966","497,374"
23-Oct,"296,511","296,511","38,144","112,991","32,857","85,757","367,512","495,259"
23-Sep,"297,336","297,336","38,427","113,777","32,913","85,930","368,676","497,043"
23-Aug,"297,705","297,705","38,863","115,021","33,036","86,274","369,604","499,000"
23-Jul,"295,769","295,769","38,203","113,189","32,868","85,826","366,840","494,784"
23-Jun,"296,491","296,491","38,895","115,209","32,948","86,027","368,334","497,727"
23-May,"296,523","296,523","39,032","115,591","32,848","85,685","368,403","497,799"
23-Apr,"294,473","294,473","38,263","113,362","32,564","84,904","365,300","492,739"
23-Mar,"296,123","296,123","39,283","116,205","32,770","85,399","368,176","497,727"
23-Feb,"295,407","295,407","39,268","116,122","32,732","85,280","367,407","496,809"
23-Jan,"293,704","293,704","38,471","113,856","32,637","85,030","364,812","492,590"
22-Dec,"296,207","296,207","39,663","117,003","32,848","85,557","368,718","498,767"
22-Nov,"296,077","296,077","39,685","117,047","32,844","85,516","368,606","498,640"
22-Oct,"294,410","294,410","39,095","115,454","32,714","85,158","366,219","495,022"
22-Sep,"295,908","295,908","39,958","117,891","32,915","85,624","368,781","499,423"
22-Aug,"295,397","295,397","39,862","117,752","33,019","85,868","368,278","499,017"
22-Jul,"294,124","294,124","39,497","116,650","32,954","85,737","366,575","496,511"
22-Jun,"295,804","295,804","40,546","119,777","33,108","86,139","369,458","501,720"
22-May,"295,071","295,071","40,225","118,921","33,061","85,992","368,357","499,984"
22-Apr,"294,991","294,991","40,459","119,430","33,094","86,047","368,544","500,468"
22-Mar,"295,753","295,753","41,120","121,408","33,315","86,629","370,188","503,790"
22-Feb,"295,265","295,265","41,205","121,902","33,473","87,145","369,943","504,312"
22-Jan,"293,446","293,446","40,326","119,577","33,522","87,285","367,294","500,308"
21-Dec,"295,872","295,872","41,596","123,242","33,838","88,066","371,306","507,180"
21-Nov,"294,937","294,937","41,185","122,269","33,954","88,388","370,076","505,594"
21-Oct,"295,576","295,576","41,397","122,976","34,072","88,667","371,045","507,219"
21-Sep,"296,441","296,441","41,895","124,487","34,209","89,019","372,545","509,947"
21-Aug,"295,638","295,638","41,528","123,428","34,282","89,198","371,448","508,264"
21-Jul,"296,460","296,460","42,132","125,145","34,322","89,232","372,914","510,837"
21-Jun,"296,972","296,972","42,624","126,656","34,359","89,326","373,955","512,954"
21-May,"296,021","296,021","42,118","125,271","34,319","89,228","372,458","510,520"
21-Apr,"297,071","297,071","42,879","127,332","34,420","89,519","374,370","513,922"
21-Mar,"297,839","297,839","43,278","128,449","34,492","89,681","375,609","515,969"
21-Feb,"297,665","297,665","43,252","128,367","34,535","89,762","375,452","515,794"
21-Jan,"296,884","296,884","42,785","126,949","34,499","89,653","374,168","513,486"
20-Dec,"298,813","298,813","43,984","130,313","34,596","89,833","377,393","518,959"
20-Nov,"297,869","297,869","43,509","128,901","34,473","89,498","375,851","516,268"
20-Oct,"299,451","299,451","44,422","131,528","34,621","89,831","378,494","520,810"
20-Sep,"300,507","300,507","44,782","132,580","34,665","89,903","379,954","522,990"
20-Aug,"299,481","299,481","44,171","130,968","34,626","89,753","378,278","520,202"
20-Jul,"300,896","300,896","45,111","133,547","34,677","89,852","380,684","524,295"
20-Jun,"300,410","300,410","44,953","133,059","34,643","89,696","380,006","523,165"
20-May,"300,578","300,578","45,073","133,253","34,516","89,305","380,167","523,136"
20-Apr,"301,441","301,441","45,792","135,198","34,453","89,058","381,686","525,697"
20-Mar,"300,981","300,981","45,847","135,234","34,364","88,797","381,192","525,012"
20-Feb,"299,304","299,304","45,198","133,425","34,300","88,642","378,802","521,371"
20-Jan,"299,752","299,752","45,668","134,764","34,310","88,635","379,730","523,151"
19-Dec,"299,157","299,157","45,607","134,455","34,251","88,508","379,015","522,120"
19-Nov,"299,112","299,112","45,657","134,569","34,197","88,308","378,966","521,989"
19-Oct,"299,120","299,120","46,215","136,074","34,180","88,230","379,515","523,424"
19-Sep,"297,918","297,918","45,549","134,230","34,136","88,062","377,603","520,210"
19-Aug,"298,503","298,503","46,278","136,298","34,115","87,887","378,896","522,688"
19-Jul,"298,201","298,201","46,344","136,397","34,036","87,659","378,581","522,257"
19-Jun,"296,097","296,097","45,561","134,184","33,817","87,081","375,475","517,362"
19-May,"297,141","297,141","46,459","136,662","33,787","86,990","377,387","520,793"
19-Apr,"296,318","296,318","46,140","135,726","33,667","86,708","376,125","518,752"
Change since Feb 2024,217,217,-297,-833,59,215,-21,-401
Change since Feb 2024 (%),0.10%,0.10%,-0.80%,-0.70%,0.20%,0.20%,-0.01%,-0.10%
