Month,  Singles - Cases  ,  Singles - Beneficiaries  ,  Couples - Cases  ,  Couples - Beneficiaries  ,  Sole Support Parents - Cases  ,  Sole Support Parents - Beneficiaries  ,  All Family Structures - Cases  ,  All Family Structures - Beneficiaries  
25-Jun,"202,759","202,759","24,545","93,654","65,084","187,877","292,389","484,290"
25-May,"202,673","202,673","24,650","94,191","64,746","187,003","292,069","483,867"
25-Apr,"201,940","201,940","24,777","94,720","64,037","184,956","290,754","481,615"
25-Mar,"201,032","201,032","24,503","93,812","63,543","183,687","289,078","478,532"
25-Feb,"200,229","200,229","24,774","94,972","63,833","184,600","288,836","479,801"
25-Jan,"201,577","201,577","25,166","96,568","64,453","186,577","291,197","484,722"
24-Dec,"197,586","197,586","24,716","95,016","63,688","184,488","285,990","477,090"
24-Nov,"197,231","197,231","24,760","95,192","63,922","185,271","285,913","477,693"
24-Oct,"195,658","195,658","24,304","93,491","63,581","184,474","283,543","473,623"
24-Sep,"194,730","194,730","24,108","93,046","63,886","185,344","282,724","473,121"
24-Aug,"194,574","194,574","24,045","93,039","64,140","186,167","282,759","473,779"
24-Jul,"190,714","190,714","23,129","89,709","62,909","182,674","276,753","463,097"
24-Jun,"189,093","189,093","22,813","88,686","63,113","183,048","275,018","460,826"
24-May,"187,802","187,802","22,572","87,646","62,893","182,357","273,267","457,805"
24-Apr,"185,122","185,122","21,946","85,209","61,987","179,984","269,055","450,316"
24-Mar,"181,641","181,641","21,479","83,458","61,821","179,599","264,941","444,698"
24-Feb,"178,539","178,539","21,233","82,585","61,814","179,612","261,585","440,735"
24-Jan,"174,500","174,500","20,782","81,005","61,310","178,274","256,592","433,780"
23-Dec,"169,539","169,539","20,481","79,943","61,405","178,454","251,426","427,936"
23-Nov,"166,840","166,840","20,169","78,813","61,458","178,630","248,467","424,284"
23-Oct,"161,805","161,805","19,522","76,593","60,768","176,850","242,095","415,248"
23-Sep,"159,385","159,385","19,569","76,726","61,622","179,373","240,576","415,484"
23-Aug,"157,780","157,780","19,397","76,141","61,720","179,813","238,896","413,734"
23-Jul,"156,143","156,143","19,148","75,142","61,547","179,234","236,838","410,519"
23-Jun,"155,042","155,042","19,292","75,899","61,924","180,210","236,258","411,151"
23-May,"153,134","153,134","18,930","74,523","61,078","177,687","233,142","405,343"
23-Apr,"152,188","152,188","18,847","74,220","61,101","177,788","232,135","404,196"
23-Mar,"152,108","152,108","18,650","73,461","61,332","178,447","232,089","404,016"
23-Feb,"148,332","148,332","17,914","70,769","60,844","177,107","227,089","396,208"
23-Jan,"146,196","146,196","17,556","69,683","61,176","178,007","224,928","393,886"
22-Dec,"141,571","141,571","17,250","68,785","60,933","177,404","219,754","387,760"
22-Nov,"140,091","140,091","16,842","67,216","60,833","177,318","217,766","384,626"
22-Oct,"138,395","138,395","16,598","66,418","61,082","177,944","216,075","382,756"
22-Sep,"138,371","138,371","16,643","66,762","61,815","180,110","216,829","385,243"
22-Aug,"137,020","137,020","16,322","65,584","61,334","178,711","214,676","381,316"
22-Jul,"135,653","135,653","16,164","64,945","61,261","178,175","213,078","378,772"
22-Jun,"135,256","135,256","16,031","64,525","61,073","177,526","212,361","377,307"
22-May,"133,752","133,752","15,543","62,609","59,985","174,430","209,280","370,791"
22-Apr,"132,660","132,660","15,596","62,962","59,490","172,981","207,746","368,603"
22-Mar,"131,518","131,518","15,436","62,509","59,313","172,506","206,267","366,532"
22-Feb,"127,691","127,691","14,992","60,996","58,399","170,049","201,083","358,736"
22-Jan,"125,965","125,965","15,051","61,349","58,883","171,501","199,899","358,815"
21-Dec,"121,051","121,051","14,680","60,096","58,155","169,438","193,887","350,586"
21-Nov,"115,194","115,194","13,987","57,714","56,491","164,958","185,673","337,866"
21-Oct,"109,690","109,690","13,893","57,749","55,855","163,614","179,437","331,052"
21-Sep,"108,867","108,867","14,005","58,378","56,001","164,272","178,872","331,516"
21-Aug,"110,675","110,675","14,371","59,933","56,888","166,599","181,934","337,207"
21-Jul,"112,234","112,234","14,845","61,809","57,154","167,142","184,233","341,185"
21-Jun,"113,869","113,869","15,146","62,992","57,408","167,758","186,423","344,619"
21-May,"115,753","115,753","15,665","65,080","58,199","169,945","189,617","350,778"
21-Apr,"117,451","117,451","16,227","67,340","58,764","171,446","192,442","356,236"
21-Mar,"119,770","119,770","16,654","69,142","59,590","173,834","196,013","362,746"
21-Feb,"120,064","120,064","16,706","69,475","59,685","174,165","196,455","363,704"
21-Jan,"121,689","121,689","17,408","72,342","61,134","178,257","200,231","372,288"
20-Dec,"121,716","121,716","17,636","73,349","61,482","179,259","200,834","374,324"
20-Nov,"124,312","124,312","18,291","75,947","62,617","182,362","205,220","382,620"
20-Oct,"127,178","127,178","19,054","78,750","63,842","185,658","210,074","391,586"
20-Sep,"129,377","129,377","19,349","79,859","64,110","186,474","212,836","395,710"
20-Aug,"136,181","136,181","20,636","84,667","66,219","192,177","223,036","413,025"
20-Jul,"141,095","141,095","21,257","86,817","67,125","194,554","229,478","422,466"
20-Jun,"145,979","145,979","21,595","87,777","67,633","195,780","235,208","429,536"
20-May,"152,198","152,198","22,744","91,931","69,233","199,969","244,175","444,098"
20-Apr,"158,464","158,464","23,954","96,140","70,830","204,079","253,247","458,683"
20-Mar,"152,674","152,674","22,720","91,595","69,477","200,292","244,871","444,561"
20-Feb,"149,055","149,055","22,381","90,634","69,409","200,392","240,845","440,082"
20-Jan,"148,376","148,376","22,407","90,955","69,810","201,636","240,593","440,966"
19-Dec,"144,902","144,902","21,835","88,564","68,763","198,559","235,501","432,025"
19-Nov,"144,758","144,758","22,377","90,953","69,680","201,000","236,815","436,711"
19-Oct,"144,463","144,463","22,359","90,618","69,753","201,361","236,574","436,441"
19-Sep,"145,491","145,491","22,608","91,726","70,742","204,061","238,841","441,278"
19-Aug,"147,262","147,262","22,952","92,955","71,605","206,416","241,820","446,633"
19-Jul,"146,884","146,884","22,604","91,613","70,791","204,074","240,279","442,571"
19-Jun,"148,660","148,660","23,061","93,389","71,398","205,356","243,119","447,405"
19-May,"149,709","149,709","23,360","94,301","71,353","205,143","244,421","449,153"
19-Apr,"149,381","149,381","23,197","93,500","70,279","202,030","242,857","444,912"
Change since Feb 2023,"3,102","3,102",246,873,7,-13,"3,356","3,962"
Change since Feb 2023 (%),1.70%,1.70%,1.20%,1.10%,0.01%,-0.01%,1.30%,0.90%
