date,value
2017-01-01,4435.0
2017-01-02,4467.0
2017-01-03,4594.0
2017-01-04,4424.0
2017-01-05,4447.0
2017-01-06,4411.0
2017-01-07,4690.0
2017-01-08,4506.0
2017-01-09,4323.0
2017-01-10,4641.0
2017-01-11,4382.0
2017-01-12,4186.0
2017-01-13,4415.0
2017-01-14,4572.0
2017-01-15,4330.0
2017-01-16,4420.0
2017-01-17,4603.0
2017-01-18,4544.0
2017-01-19,4476.0
2017-01-20,4616.0
2017-01-21,4492.0
2017-01-22,4668.0
2017-01-23,4396.0
2017-01-24,4500.0
2017-01-25,4510.0
2017-01-26,4376.0
2017-01-27,4440.0
2017-01-28,4530.0
2017-01-29,4514.0
2017-01-30,4386.0
2017-01-31,4231.0
2017-02-01,4204.0
2017-02-02,4325.0
2017-02-03,4446.0
2017-02-04,4392.0
2017-02-05,4473.0
2017-02-06,4467.0
2017-02-07,4357.0
2017-02-08,4585.0
2017-02-09,4457.0
2017-02-10,4528.0
2017-02-11,4449.0
2017-02-12,4203.0
2017-02-13,4426.0
2017-02-14,4438.0
2017-02-15,4416.0
2017-02-16,4474.0
2017-02-17,4602.0
2017-02-18,4468.0
2017-02-19,4563.0
2017-02-20,4377.0
2017-02-21,4461.0
2017-02-22,4432.0
2017-02-23,4436.0
2017-02-24,4318.0
2017-02-25,4496.0
2017-02-26,4635.0
2017-02-27,4462.0
2017-02-28,4394.0
2017-03-01,4432.0
2017-03-02,4357.0
2017-03-03,4411.0
2017-03-04,4489.0
2017-03-05,4436.0
2017-03-06,4396.0
2017-03-07,4503.0
2017-03-08,4709.0
2017-03-09,4485.0
2017-03-10,4188.0
2017-03-11,4547.0
2017-03-12,4525.0
2017-03-13,4954.0
2017-03-14,4517.0
2017-03-15,4413.0
2017-03-16,4524.0
2017-03-17,4558.0
2017-03-18,4532.0
2017-03-19,4582.0
2017-03-20,4534.0
2017-03-21,4518.0
2017-03-22,4408.0
2017-03-23,4467.0
2017-03-24,4466.0
2017-03-25,4670.0
2017-03-26,4542.0
2017-03-27,4484.0
2017-03-28,4476.0
2017-03-29,4502.0
2017-03-30,4503.0
2017-03-31,4528.0
2017-04-01,4490.0
2017-04-02,4466.0
2017-04-03,4560.0
2017-04-04,4482.0
2017-04-05,4482.0
2017-04-06,4555.0
2017-04-07,4563.0
2017-04-08,4503.0
2017-04-09,4523.0
2017-04-10,4575.0
2017-04-11,4445.0
2017-04-12,4559.0
2017-04-13,4567.0
2017-04-14,4437.0
2017-04-15,4673.0
2017-04-16,4745.0
2017-04-17,4336.0
2017-04-18,4495.0
2017-04-19,4554.0
2017-04-20,4948.0
2017-04-21,4612.0
2017-04-22,4491.0
2017-04-23,4737.0
2017-04-24,4715.0
2017-04-25,4719.0
2017-04-26,4649.0
2017-04-27,4666.0
2017-04-28,4688.0
2017-04-29,4799.0
2017-04-30,4762.0
2017-05-01,4688.0
2017-05-02,4525.0
2017-05-03,4611.0
2017-05-04,4671.0
2017-05-05,4658.0
2017-05-06,4763.0
2017-05-07,4785.0
2017-05-08,4709.0
2017-05-09,4635.0
2017-05-10,4899.0
2017-05-11,4539.0
2017-05-12,4651.0
2017-05-13,4869.0
2017-05-14,4785.0
2017-05-15,4736.0
2017-05-16,4627.0
2017-05-17,4658.0
2017-05-18,4815.0
2017-05-19,4468.0
2017-05-20,4876.0
2017-05-21,4727.0
2017-05-22,4819.0
2017-05-23,4650.0
2017-05-24,4675.0
2017-05-25,4725.0
2017-05-26,4491.0
